Device ID,In Service,Activation State,Location,Product,Configuration Pending,Provider,Encryption,Firmware Version,Firmware Update Available,Last Received,Comm Status,Commissioned,Key Date,Key Pending Rotation,Latitude,Longitude,Radio Identifiers,Radio Model,Rx Frequency,SSI,Tx Frequency
50691,true,,PULASKI-132RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:18.817,Normal,2022-03-07 10:05:34.309,2025-09-17 09:59:22.000,No,40.03222579,-75.163449,FlexNetId: 50532089,FlexNet900,930.5125 MHz,44,901.8625 MHz
45022,true,,NEWLIN-354RMP4,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:23.973,Normal,2019-02-14 09:40:11.585,2025-09-17 09:57:33.000,No,39.977862,-75.929487,FlexNetId: 50409392,FlexNet900,930.5375 MHz,79,901.8875 MHz
52889,true,,HEATON-133T1264,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:13:03.591,Normal,2023-12-11 09:23:24.154,2025-09-17 10:17:49.000,No,40.1385929,-75.144179,FlexNetId: 50533249,FlexNet900,930.5125 MHz,39,901.8375 MHz
50735,true,,PULASKI-132RMP4,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:10:23.743,Normal,2022-04-12 07:23:28.576,2025-09-17 09:44:18.000,No,40.024374,-75.173331,FlexNetId: 50532104,FlexNet900,930.5125 MHz,34,901.8875 MHz
54093,true,,HARTMAN-353T1266,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:11:39.501,Normal,2024-10-17 10:05:37.436,2025-09-17 09:33:30.000,No,40.261758,-75.1972931,FlexNetId: 50480526,FlexNet900K24,930.5375 MHz,73,901.8375 MHz
42997,true,,FALLS-351T1267,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:13.964,Normal,2018-07-17 13:23:05.622,2025-09-17 09:28:13.000,No,40.22125,-75.8416,FlexNetId: 50408361,FlexNet900,930.5125 MHz,46,901.8875 MHz
47217,true,,LINE-2621RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:56.448,Normal,2020-02-25 09:05:55.498,2025-09-17 09:55:19.000,No,40.076,-75.073,FlexNetId: 50530621,FlexNet900,930.5125 MHz,43,901.8875 MHz
48825,true,,TABOR-134RMP6,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:11.249,Normal,2020-12-03 12:46:29.860,2025-09-17 10:20:23.000,No,40.0463,-75.1493,FlexNetId: 50530944,FlexNet900,930.5375 MHz,48,901.8875 MHz
54088,true,,TREVOSE-136T305,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:11:50.539,Normal,2024-10-17 10:05:36.872,2025-09-17 09:33:33.000,No,40.1747346,-75.0203676,FlexNetId: 50480527,FlexNet900K24,930.5125 MHz,31,901.8375 MHz
48801,true,,JENKINTO-142T89,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:10:28.670,Normal,2020-12-03 12:46:41.598,2025-09-17 09:37:49.000,No,40.0839339,-75.1567991,FlexNetId: 50530927,FlexNet900,930.5375 MHz,18,901.8375 MHz
