Device ID - Session,Description,Radio Comms Up,Radio Comms Up (time),Time Synchronized,Time Synchronized (time),Network Data Overage Alarm,Network Data Overage Alarm (time),Local Port Connected,Local Port Connected (time),Session 0 online,Session 0 online (time),Session 1 online,Session 1 online (time),Thread(s) at Critical Stack Usage,Thread(s) at Critical Stack Usage (time),User Configuration Issue,User Configuration Issue (time),AC Outage,AC Outage (time),Battery Fuse Status,Battery Fuse Status (time),Programmable Logic Point 1,Programmable Logic Point 1 (time),Programmable Logic Point 2,Programmable Logic Point 2 (time),Programmable Logic Point 3,Programmable Logic Point 3 (time),Programmable Logic Point 4,Programmable Logic Point 4 (time),Programmable Logic Point 5,Programmable Logic Point 5 (time),Programmable Logic Point 6,Programmable Logic Point 6 (time),Programmable Logic Point 7,Programmable Logic Point 7 (time),Programmable Logic Point 8,Programmable Logic Point 8 (time),Programmable Logic Point 9,Programmable Logic Point 9 (time),Programmable Logic Point 10,Programmable Logic Point 10 (time),CommLost Status,CommLost Status (time),Unit ID,Unit ID (time),Primary Radio ID,Primary Radio ID (time),RTM FW Version Number,RTM FW Version Number (time),Average Radio RX Signal,Average Radio RX Signal (time),Average Radio TX Signal,Average Radio TX Signal (time),RF Comms State,RF Comms State (time),Recent Highest Transmit Count,Recent Highest Transmit Count (time),Last Radio Received SSI Value,Last Radio Received SSI Value (time),Last Base Station Received SSI Value,Last Base Station Received SSI Value (time),Today's Since Reset IED TX/RX (KB),Today's Since Reset IED TX/RX (KB) (time),Today's Total IED TX/RX (KB),Today's Total IED TX/RX (KB) (time),Yesterday's Total IED TX/RX (KB),Yesterday's Total IED TX/RX (KB) (time),Today's Bulk TX/RX (KB),Today's Bulk TX/RX (KB) (time),Yesterday's Bulk TX/RX (KB),Yesterday's Bulk TX/RX (KB) (time),Today's Total TX/RX (KB),Today's Total TX/RX (KB) (time),Yesterday's Total TX/RX (KB),Yesterday's Total TX/RX (KB) (time),Month's Total TX/RX (KB),Month's Total TX/RX (KB) (time),Last Cell Radio Received RSRP,Last Cell Radio Received RSRP (time),Last Cell Radio Received RSRQ,Last Cell Radio Received RSRQ (time),Today's Percent Successful TX (Session 0),Today's Percent Successful TX (Session 0) (time),Today's Percent Successful TX (Session 1),Today's Percent Successful TX (Session 1) (time),Dynamic Memory Bytes Total,Dynamic Memory Bytes Total (time),Dynamic Memory Bytes Used,Dynamic Memory Bytes Used (time),Dynamic Memory Bytes Free,Dynamic Memory Bytes Free (time),Dynamic Memory Number of Blocks,Dynamic Memory Number of Blocks (time),Dynamic Memory Largest Block Size,Dynamic Memory Largest Block Size (time),Line Voltage Present Value (VAC),Line Voltage Present Value (VAC) (time),Line Voltage Maximum Value (VAC),Line Voltage Maximum Value (VAC) (time),Line Voltage Minimum Value (VAC),Line Voltage Minimum Value (VAC) (time),Present Battery State,Present Battery State (time),Last Test Battery Condition,Last Test Battery Condition (time),Battery Test Voltage (VDC),Battery Test Voltage (VDC) (time),Board Temperature (deg C),Board Temperature (deg C) (time),Programmable Math Point 1,Programmable Math Point 1 (time),Programmable Math Point 2,Programmable Math Point 2 (time),Programmable Math Point 3,Programmable Math Point 3 (time),Programmable Math Point 4,Programmable Math Point 4 (time),Programmable Math Point 5,Programmable Math Point 5 (time),Programmable Math Point 6,Programmable Math Point 6 (time),Programmable Math Point 7,Programmable Math Point 7 (time),Programmable Math Point 8,Programmable Math Point 8 (time),Programmable Math Point 9,Programmable Math Point 9 (time),Programmable Math Point 10,Programmable Math Point 10 (time),Flag Count,Flag Count (time),"PV Report Date (MMDD, deprecated)","PV Report Date (MMDD, deprecated) (time)","PV Report Time (HHMM, deprecated)","PV Report Time (HHMM, deprecated) (time)",Report Time (Epoch milliseconds),Report Time (Epoch milliseconds) (time),Inbound Retries,Inbound Retries (time),Inbound SSI,Inbound SSI (time),Outbound SSI,Outbound SSI (time),CommLost Diagnostic,CommLost Diagnostic (time)
49367-0,FlexNet ID: 50531310,Yes,2026-09-08 15:00:03.806,Yes,2026-09-08 15:00:03.806,,,,,Online,2026-09-08 15:00:03.806,Online,2026-09-08 15:00:03.806,,,Normal,2026-09-08 15:00:03.806,Normal,2026-09-08 15:00:03.806,Normal,2026-09-08 15:00:03.806,,,,,,,,,,,,,,,,,,,,,Normal,2026-07-03 21:54:57.867,0,2026-07-03 21:55:05.832,50531310,2026-07-03 21:55:05.832,4110005,2026-07-03 21:55:05.832,34.299999237,2026-09-08 15:00:03.806,28.600000381,2026-09-08 15:00:03.806,0,2026-09-08 15:00:03.806,0,2026-09-08 15:00:03.806,39,2026-09-08 15:00:03.806,19,2026-09-08 15:00:03.806,11,2026-09-08 15:00:03.806,11,2026-09-08 15:00:03.806,19,2026-09-08 15:00:03.806,0,2026-09-08 15:00:03.806,0,2026-09-08 15:00:03.806,16,2026-09-08 15:00:03.806,29,2026-09-08 15:00:03.806,,,,,,,100,2026-09-08 15:00:03.806,100,2026-09-08 15:00:03.806,,,,,,,,,,,125.75757599,2026-09-08 15:00:03.806,130.75756836,2026-09-08 15:00:03.806,0,2026-09-08 15:00:03.806,1,2026-09-08 15:00:03.806,4,2026-09-08 15:00:03.806,12.109092712,2026-09-08 15:00:03.806,23.645320892,2026-09-09 03:00:04.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:45:08.335,25,2026-09-09 08:45:08.335,26,2026-09-09 08:45:08.335,0,2026-07-03 21:54:57.867
49368-0,FlexNet ID: 50531322,Yes,2026-09-08 15:00:04.920,Yes,2026-09-08 15:00:04.920,,,,,Online,2026-09-08 15:00:04.920,Online,2026-09-08 15:00:04.920,,,Normal,2026-09-08 15:00:04.920,Normal,2026-09-08 15:00:04.920,Normal,2026-09-08 15:00:04.920,,,,,,,,,,,,,,,,,,,,,Normal,2025-12-03 21:58:55.726,0,2025-12-03 21:59:22.372,50531322,2025-12-03 21:59:22.372,4110005,2025-12-03 21:59:22.372,19.400001526,2026-09-08 15:00:04.920,21.199996948,2026-09-08 15:00:04.920,0,2026-09-08 15:00:04.920,0,2026-09-08 15:00:04.920,21,2026-09-08 15:00:04.920,18,2026-09-08 15:00:04.920,9,2026-09-08 15:00:04.920,9,2026-09-08 15:00:04.920,17,2026-09-08 15:00:04.920,0,2026-09-08 15:00:04.920,0,2026-09-08 15:00:04.920,15,2026-09-08 15:00:04.920,28,2026-09-08 15:00:04.920,,,,,,,100,2026-09-08 15:00:04.920,100,2026-09-08 15:00:04.920,,,,,,,,,,,126.8181839,2026-09-08 15:00:04.920,145.60606384,2026-09-08 15:00:04.920,0,2026-09-08 15:00:04.920,1,2026-09-08 15:00:04.920,4,2026-09-08 15:00:04.920,12.300133705,2026-09-08 15:00:04.920,25.123151779,2026-09-09 03:00:04.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:45:09.301,23,2026-09-09 08:45:09.301,17,2026-09-09 08:45:09.301,0,2025-12-03 21:58:55.726
49370-0,FlexNet ID: 50531325,Yes,2026-09-08 18:42:01.373,Yes,2026-09-08 18:42:01.373,,,,,Online,2026-09-08 18:42:01.373,Online,2026-09-08 18:42:01.373,,,Normal,2026-09-08 18:42:01.373,Normal,2026-09-08 18:42:01.373,Normal,2026-09-08 18:42:01.373,,,,,,,,,,,,,,,,,,,,,Normal,2026-09-08 18:41:48.353,0,2026-09-08 18:42:01.373,50531325,2026-09-08 18:42:01.373,4110005,2026-09-08 18:42:01.373,14.5,2026-09-08 18:42:01.373,17,2026-09-08 18:42:01.373,0,2026-09-08 18:42:01.373,0,2026-09-08 18:42:01.373,11,2026-09-08 18:42:01.373,16,2026-09-08 18:42:01.373,22,2026-09-08 18:42:01.373,22,2026-09-08 18:42:01.373,26,2026-09-08 18:42:01.373,0,2026-09-08 18:42:01.373,0,2026-09-08 18:42:01.373,30,2026-09-08 18:42:01.373,34,2026-09-08 18:42:01.373,,,,,,,100,2026-09-08 18:42:01.373,100,2026-09-08 18:42:01.373,,,,,,,,,,,127.87878418,2026-09-08 18:42:01.373,131.06060791,2026-09-08 18:42:01.373,0,2026-09-08 18:42:01.373,1,2026-09-08 18:42:01.373,4,2026-09-08 18:42:01.373,12.167874336,2026-09-08 18:42:01.373,23.152709961,2026-09-09 03:11:42.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:56:44.473,12,2026-09-09 08:56:44.473,14,2026-09-09 08:56:44.473,0,2026-09-08 18:41:48.353
52570-0,FlexNet ID: 50533113,Yes,2026-08-23 22:17:42.610,Yes,2026-08-23 22:17:42.610,,,,,Online,2026-08-23 22:17:42.610,Online,2026-08-23 22:17:42.610,,,Normal,2026-08-23 22:17:42.610,Normal,2026-08-23 22:17:42.610,Normal,2026-08-23 22:17:42.610,,,,,,,,,,,,,,,,,,,,,Alarm,2026-08-23 22:17:42.610,0,2026-08-23 22:17:42.610,50533113,2026-08-23 22:17:42.610,4110005,2026-08-23 22:17:42.610,12.600000381,2026-08-23 22:17:42.610,22,2026-08-23 22:17:42.610,0,2026-08-23 22:17:42.610,0,2026-08-23 22:17:42.610,9,2026-08-23 22:17:42.610,14,2026-08-23 22:17:42.610,41,2026-08-23 22:17:42.610,41,2026-08-23 22:17:42.610,52,2026-08-23 22:17:42.610,0,2026-08-23 22:17:42.610,0,2026-08-23 22:17:42.610,44,2026-08-23 22:17:42.610,62,2026-08-23 22:17:42.610,,,,,,,100,2026-08-23 22:17:42.610,100,2026-08-23 22:17:42.610,,,,,,,,,,,123.23529053,2026-08-23 22:17:42.610,155,2026-08-23 22:17:42.610,89.848487854,2026-08-23 22:17:42.610,1,2026-08-23 22:17:42.610,1,2026-08-23 22:17:42.610,11.491881371,2026-08-23 22:17:42.610,39.408866882,2026-08-23 22:17:42.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-08-23 22:01:40.443,18,2026-08-23 22:01:40.443,12,2026-08-23 22:01:40.443,2,2026-08-23 22:17:42.610
52574-0,FlexNet ID: 50533127,Yes,2026-09-08 14:49:41.334,Yes,2026-09-08 14:49:41.334,,,,,Online,2026-09-08 14:49:41.334,Online,2026-09-08 14:49:41.334,,,Normal,2026-09-08 14:49:41.334,Normal,2026-09-08 14:49:41.334,Normal,2026-09-08 14:49:41.334,,,,,,,,,,,,,,,,,,,,,Normal,2026-07-12 11:12:59.062,0,2026-07-12 11:13:10.627,50533127,2026-07-12 11:13:10.627,4110005,2026-07-12 11:13:10.627,22.199998856,2026-09-08 14:49:41.334,29.700000763,2026-09-08 14:49:41.334,0,2026-09-08 14:49:41.334,0,2026-09-08 14:49:41.334,27,2026-09-08 14:49:41.334,32,2026-09-08 14:49:41.334,10,2026-09-08 14:49:41.334,10,2026-09-08 14:49:41.334,21,2026-09-08 14:49:41.334,0,2026-09-08 14:49:41.334,0,2026-09-08 14:49:41.334,16,2026-09-08 14:49:41.334,33,2026-09-08 14:49:41.334,,,,,,,100,2026-09-08 14:49:41.334,100,2026-09-08 14:49:41.334,,,,,,,,,,,124.55882263,2026-09-08 14:49:41.334,133.03030396,2026-09-08 14:49:41.334,0,2026-09-08 14:49:41.334,1,2026-09-08 14:49:41.334,4,2026-09-08 14:49:41.334,12.27074337,2026-09-08 14:49:41.334,30.295566559,2026-09-09 08:49:43.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:49:47.289,35,2026-09-09 08:49:47.289,29,2026-09-09 08:49:47.289,0,2026-07-12 11:12:59.062
52677-0,FlexNet ID: 50533539,Yes,2026-09-08 14:49:43.125,Yes,2026-09-08 14:49:43.125,,,,,Online,2026-09-08 14:49:43.125,Online,2026-09-08 14:49:43.125,,,Normal,2026-09-08 14:49:43.125,Normal,2026-09-08 14:49:43.125,Normal,2026-09-08 14:49:43.125,,,,,,,,,,,,,,,,,,,,,Normal,2026-07-12 11:12:57.755,0,2026-07-12 11:13:37.025,50533539,2026-07-12 11:13:37.025,4110005,2026-07-12 11:13:37.025,26.200000763,2026-09-08 14:49:43.125,24.299999237,2026-09-08 14:49:43.125,0,2026-09-08 14:49:43.125,0,2026-09-08 14:49:43.125,31,2026-09-08 14:49:43.125,14,2026-09-08 14:49:43.125,11,2026-09-08 14:49:43.125,11,2026-09-08 14:49:43.125,22,2026-09-08 14:49:43.125,0,2026-09-08 14:49:43.125,0,2026-09-08 14:49:43.125,17,2026-09-08 14:49:43.125,32,2026-09-08 14:49:43.125,,,,,,,100,2026-09-08 14:49:43.125,100,2026-09-08 14:49:43.125,,,,,,,,,,,124.55882263,2026-09-08 14:49:43.125,129.09091187,2026-09-08 14:49:43.125,0,2026-09-08 14:49:43.125,1,2026-09-08 14:49:43.125,4,2026-09-08 14:49:43.125,12.226656914,2026-09-08 14:49:43.125,29.06403923,2026-09-09 08:49:44.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:49:46.413,31,2026-09-09 08:49:46.413,22,2026-09-09 08:49:46.413,0,2026-07-12 11:12:57.755
52573-0,FlexNet ID: 50533548,Yes,2026-09-08 18:02:31.518,Yes,2026-09-08 18:02:31.518,,,,,Online,2026-09-08 18:02:31.518,Online,2026-09-08 18:02:31.518,,,Normal,2026-09-08 18:02:31.518,Normal,2026-09-08 18:02:31.518,Normal,2026-09-08 18:02:31.518,,,,,,,,,,,,,,,,,,,,,Normal,2026-06-18 18:02:44.215,0,2026-06-18 18:03:19.981,50533548,2026-06-18 18:03:19.981,4110005,2026-06-18 18:03:19.981,16.600000381,2026-09-08 18:02:31.518,23.699998856,2026-09-08 18:02:31.518,0,2026-09-08 18:02:31.518,0,2026-09-08 18:02:31.518,27,2026-09-08 18:02:31.518,21,2026-09-08 18:02:31.518,18,2026-09-08 18:02:31.518,18,2026-09-08 18:02:31.518,28,2026-09-08 18:02:31.518,0,2026-09-08 18:02:31.518,0,2026-09-08 18:02:31.518,25,2026-09-08 18:02:31.518,38,2026-09-08 18:02:31.518,,,,,,,100,2026-09-08 18:02:31.518,100,2026-09-08 18:02:31.518,,,,,,,,,,,124.26470947,2026-09-08 18:02:31.518,132.12121582,2026-09-08 18:02:31.518,42.096775055,2026-09-08 18:02:31.518,1,2026-09-08 18:02:31.518,4,2026-09-08 18:02:31.518,12.211960793,2026-09-08 18:02:31.518,25.369457245,2026-09-09 06:02:31.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:47:26.133,22,2026-09-09 08:47:26.133,16,2026-09-09 08:47:26.133,0,2026-06-18 18:02:44.215
52572-0,FlexNet ID: 50533550,Yes,2026-09-08 18:54:26.350,Yes,2026-09-08 18:54:26.350,,,,,Online,2026-09-08 18:54:26.350,Online,2026-09-08 18:54:26.350,,,Normal,2026-09-08 18:54:26.350,Normal,2026-09-08 18:54:26.350,Normal,2026-09-08 18:54:26.350,,,,,,,,,,,,,,,,,,,,,Normal,2026-09-08 18:54:14.219,0,2026-09-08 18:54:26.350,50533550,2026-09-08 18:54:26.350,4110005,2026-09-08 18:54:26.350,24.000001907,2026-09-08 18:54:26.350,35,2026-09-08 18:54:26.350,0,2026-09-08 18:54:26.350,0,2026-09-08 18:54:26.350,28,2026-09-08 18:54:26.350,25,2026-09-08 18:54:26.350,25,2026-09-08 18:54:26.350,25,2026-09-08 18:54:26.350,26,2026-09-08 18:54:26.350,0,2026-09-08 18:54:26.350,0,2026-09-08 18:54:26.350,34,2026-09-08 18:54:26.350,37,2026-09-08 18:54:26.350,,,,,,,100,2026-09-08 18:54:26.350,100,2026-09-08 18:54:26.350,,,,,,,,,,,123.97058868,2026-09-08 18:54:26.350,155,2026-09-08 18:54:26.350,45,2026-09-08 18:54:26.350,1,2026-09-08 18:54:26.350,1,2026-09-08 18:54:26.350,11.447794914,2026-09-08 18:54:26.350,26.108373642,2026-09-09 04:24:10.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:54:11.045,44,2026-09-09 08:54:11.045,27,2026-09-09 08:54:11.045,0,2026-09-08 18:54:14.219
52918-0,FlexNet ID: 50533588,Yes,2026-09-09 01:26:35.529,Yes,2026-09-09 01:26:35.529,,,,,Online,2026-09-09 01:26:35.529,Online,2026-09-09 01:26:35.529,,,Normal,2026-09-09 01:26:35.529,Normal,2026-09-09 01:26:35.529,Normal,2026-09-09 01:26:35.529,,,,,,,,,,,,,,,,,,,,,Normal,2026-09-08 18:41:36.623,0,2026-09-08 18:51:00.471,50533588,2026-09-08 18:51:00.471,4110005,2026-09-08 18:51:00.471,24.100000381,2026-09-09 01:26:35.529,20.099998474,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,27,2026-09-09 01:26:35.529,8,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,33,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,1,2026-09-09 01:26:35.529,45,2026-09-09 01:26:35.529,,,,,,,100,2026-09-09 01:26:35.529,100,2026-09-09 01:26:35.529,,,,,,,,,,,127.57575989,2026-09-09 01:26:35.529,130.75756836,2026-09-09 01:26:35.529,0,2026-09-09 01:26:35.529,1,2026-09-09 01:26:35.529,4,2026-09-09 01:26:35.529,12.12378788,2026-09-09 01:26:35.529,22.906404495,2026-09-09 07:26:35.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:56:48.262,11,2026-09-09 08:56:48.262,25,2026-09-09 08:56:48.262,0,2026-09-08 18:41:36.623
52804-0,FlexNetId: 50533102,Yes,2026-09-09 01:02:52.161,Yes,2026-09-09 01:02:52.161,,,,,Online,2026-09-09 01:02:52.161,Online,2026-09-09 01:02:52.161,,,Normal,2026-09-09 01:02:52.161,Normal,2026-09-09 01:02:52.161,Normal,2026-09-09 01:02:52.161,,,,,,,,,,,,,,,,,,,,,Normal,2026-08-04 17:09:29.412,0,2026-08-04 17:09:43.778,50533102,2026-08-04 17:09:43.778,4110005,2026-08-04 17:09:43.778,21.700000763,2026-09-09 01:02:52.161,24.200000763,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,24,2026-09-09 01:02:52.161,26,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,23,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,1,2026-09-09 01:02:52.161,33,2026-09-09 01:02:52.161,,,,,,,100,2026-09-09 01:02:52.161,100,2026-09-09 01:02:52.161,,,,,,,,,,,127.87878418,2026-09-09 01:02:52.161,129.84848022,2026-09-09 01:02:52.161,0,2026-09-09 01:02:52.161,1,2026-09-09 01:02:52.161,4,2026-09-09 01:02:52.161,12.300133705,2026-09-09 01:02:52.161,25.123151779,2026-09-09 07:02:48.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:47:52.423,26,2026-09-09 08:47:52.423,19,2026-09-09 08:47:52.423,0,2026-08-04 17:09:29.412
44434-0,REMOVE: FlexNet ID: 50409540,Yes,2024-04-03 12:39:27.430,Yes,2024-04-03 12:39:27.430,,,,,Online,2024-04-03 12:39:27.430,Online,2024-04-03 12:39:27.430,,,Normal,2024-04-03 12:39:27.430,AC Voltage Not Present,2024-04-03 12:39:27.430,Normal,2024-04-03 12:39:27.430,,,,,,,,,,,,,,,,,,,,,Alarm,2024-04-03 12:39:27.430,0,2024-04-03 12:39:27.430,50409540,2024-04-03 12:39:27.430,490003,2024-04-03 12:39:27.430,23.700000763,2024-04-03 12:39:27.430,23.899997711,2024-04-03 12:39:27.430,0,2024-04-03 12:39:27.430,0,2024-04-03 12:39:27.430,31,2024-04-03 12:39:27.430,18,2024-04-03 12:39:27.430,14,2024-04-03 12:39:27.430,14,2024-04-03 12:39:27.430,25,2024-04-03 12:39:27.430,0,2024-04-03 12:39:27.430,0,2024-04-03 12:39:27.430,22,2024-04-03 12:39:27.430,37,2024-04-03 12:39:27.430,,,,,,,100,2024-04-03 12:39:27.430,100,2024-04-03 12:39:27.430,,,,,,,,,,,127.27272797,2024-04-03 12:39:27.430,132.27272034,2024-04-03 12:39:27.430,95,2024-04-03 12:39:27.430,3,2024-04-03 12:39:27.430,3,2024-04-03 12:39:27.430,11.800487518,2024-04-03 12:39:27.430,11.822660446,2024-04-03 12:39:27.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-04-03 12:23:25.409,22,2024-04-03 12:23:25.409,19,2024-04-03 12:23:25.409,2,2024-04-03 12:39:27.430
47253-0,REMOVED: FlexNet ID: 50530617,Yes,2023-05-01 10:00:55.260,Yes,2023-05-01 10:00:55.260,,,,,Online,2023-05-01 10:00:55.260,Online,2023-05-01 10:00:55.260,,,Normal,2023-05-01 10:00:55.260,AC Voltage Not Present,2023-05-01 10:00:55.260,Normal,2023-05-01 10:00:55.260,,,,,,,,,,,,,,,,,,,,,Alarm,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,50530617,2023-05-01 10:00:55.260,480004,2023-05-01 10:00:55.260,54.099998474,2023-05-01 10:00:55.260,53.299995422,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,54,2023-05-01 10:00:55.260,56,2023-05-01 10:00:55.260,19,2023-05-01 10:00:55.260,19,2023-05-01 10:00:55.260,39,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,29,2023-05-01 10:00:55.260,56,2023-05-01 10:00:55.260,,,,,,,100,2023-05-01 10:00:55.260,100,2023-05-01 10:00:55.260,,,,,,,,,,,129.54545593,2023-05-01 10:00:55.260,131.81817627,2023-05-01 10:00:55.260,121.61764526,2023-05-01 10:00:55.260,1,2023-05-01 10:00:55.260,1,2023-05-01 10:00:55.260,0,2023-05-01 10:00:55.260,14.285714149,2023-05-01 10:00:55.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-05-01 09:44:48.028,53,2023-05-01 09:44:48.028,50,2023-05-01 09:44:48.028,2,2023-05-01 10:00:55.260
49366-0,REMOVED: FlexNet ID: 50531312,Yes,2023-08-16 12:11:45.514,Yes,2023-08-16 12:11:45.514,,,,,Online,2023-08-16 12:11:45.514,Online,2023-08-16 12:11:45.514,,,Normal,2023-08-16 12:11:45.514,AC Voltage Not Present,2023-08-16 12:11:45.514,Normal,2023-08-16 12:11:45.514,,,,,,,,,,,,,,,,,,,,,Alarm,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,50531312,2023-08-16 12:11:45.514,480004,2023-08-16 12:11:45.514,44.777778625,2023-08-16 12:11:45.514,36.5,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,41,2023-08-16 12:11:45.514,41,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,3,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,1,2023-08-16 12:11:45.514,36,2023-08-16 12:11:45.514,,,,,,,100,2023-08-16 12:11:45.514,100,2023-08-16 12:11:45.514,,,,,,,,,,,123.8235321,2023-08-16 12:11:45.514,125.15151215,2023-08-16 12:11:45.514,117.24137878,2023-08-16 12:11:45.514,3,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,0,2023-08-16 12:11:45.514,29.556650162,2023-08-16 12:11:45.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-08-16 11:55:41.315,41,2023-08-16 11:55:41.315,41,2023-08-16 11:55:41.315,2,2023-08-16 12:11:45.514
49369-0,REMOVED: FlexNet ID: 50531323,Yes,2023-04-06 20:36:04.908,Yes,2023-04-06 20:36:04.908,,,,,Online,2023-04-06 20:36:04.908,Online,2023-04-06 20:36:04.908,,,Normal,2023-04-06 20:36:04.908,Normal,2023-04-06 20:36:04.908,Normal,2023-04-06 20:36:04.908,,,,,,,,,,,,,,,,,,,,,Alarm,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,50531323,2023-04-06 20:36:04.908,480004,2023-04-06 20:36:04.908,43.600002289,2023-04-06 20:36:04.908,36.5,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,46,2023-04-06 20:36:04.908,39,2023-04-06 20:36:04.908,22,2023-04-06 20:36:04.908,24,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,1,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,41,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,,,,,,,85.714286804,2023-04-06 20:36:04.908,100,2023-04-06 20:36:04.908,,,,,,,,,,,129.24243164,2023-04-06 20:36:04.908,129.69697571,2023-04-06 20:36:04.908,117.75862122,2023-04-06 20:36:04.908,1,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,0,2023-04-06 20:36:04.908,26.847290039,2023-04-06 20:36:04.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-04-06 20:04:03.505,40,2023-04-06 20:04:03.505,43,2023-04-06 20:04:03.505,2,2023-04-06 20:36:04.908
